candidate,epoch,run_id,raw_output_count,parsed_ok_count,parse_failure_count,parsed_ok_rate,no_refusal_or_meta_count,no_markdown_fence_count,no_mojibake_count,judge_mean_capped_score,judge_count,judge_run_id,source_safety_margin,main_message_salience,major_risk_count,severe_fail_count,training_runtime_seconds,train_loss,eval_loss,training_oom,metrics_path,judge_summary_path,training_result_path
ministral3_3b_instruct,5,stage1_anchor_r32_lr2e4,145,141,4,0.972414,137,141,141,75.04,50,stage1_val50_ministral3_anchor_20260512,3.22,3.84,4,0,5987.41,,,False,model_workspaces/ministral3_3b_instruct/outputs/validation/stage1_anchor_r32_lr2e4_epoch_5_record_messages/metrics.json,outputs/judge/stage1_val50_ministral3_anchor_20260512/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/ministral3_3b_instruct/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
phi4_mini_instruct,1,stage1_anchor_r32_lr2e4,145,134,11,0.924138,131,134,134,77.918367,49,stage1_val50_phi4_anchor_20260512,3.306122,4.163265,2,0,7217.86,,,False,model_workspaces/phi4_mini_instruct/outputs/validation/stage1_anchor_r32_lr2e4_epoch_1_record_messages/metrics.json,outputs/judge/stage1_val50_phi4_anchor_20260512/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/phi4_mini_instruct/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
phi4_mini_instruct,2,stage1_anchor_r32_lr2e4,145,140,5,0.965517,137,140,140,74.46,50,stage1_val50_phi4_anchor_20260512,3.06,4.04,3,0,7217.86,,,False,model_workspaces/phi4_mini_instruct/outputs/validation/stage1_anchor_r32_lr2e4_epoch_2_record_messages/metrics.json,outputs/judge/stage1_val50_phi4_anchor_20260512/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/phi4_mini_instruct/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
phi4_mini_instruct,3,stage1_anchor_r32_lr2e4,145,141,4,0.972414,135,141,141,78.54,50,stage1_val50_phi4_anchor_20260512,3.24,4.2,2,0,7217.86,,,False,model_workspaces/phi4_mini_instruct/outputs/validation/stage1_anchor_r32_lr2e4_epoch_3_record_messages/metrics.json,outputs/judge/stage1_val50_phi4_anchor_20260512/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/phi4_mini_instruct/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
phi4_mini_instruct,4,stage1_anchor_r32_lr2e4,145,137,8,0.944828,136,137,137,78.061224,49,stage1_val50_phi4_anchor_20260512,3.367347,4.22449,1,0,7217.86,,,False,model_workspaces/phi4_mini_instruct/outputs/validation/stage1_anchor_r32_lr2e4_epoch_4_record_messages/metrics.json,outputs/judge/stage1_val50_phi4_anchor_20260512/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/phi4_mini_instruct/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
phi4_mini_instruct,5,stage1_anchor_r32_lr2e4,145,139,6,0.958621,135,139,139,73.367347,49,stage1_val50_phi4_anchor_20260512,3.081633,3.938776,2,0,7217.86,,,False,model_workspaces/phi4_mini_instruct/outputs/validation/stage1_anchor_r32_lr2e4_epoch_5_record_messages/metrics.json,outputs/judge/stage1_val50_phi4_anchor_20260512/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/phi4_mini_instruct/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
qwen35_4b,1,stage1_anchor_r32_lr2e4,145,141,4,0.972414,136,140,141,74.367347,49,stage1_val50_qwen35_anchor_20260512,3.22449,4.020408,3,0,30119.68,,,False,model_workspaces/qwen35_4b/outputs/validation/stage1_anchor_r32_lr2e4_epoch_1_record_messages/metrics.json,outputs/judge/stage1_val50_qwen35_anchor_20260512/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/qwen35_4b/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
qwen35_4b,2,stage1_anchor_r32_lr2e4,145,143,2,0.986207,139,143,143,74.46,50,stage1_val50_qwen35_anchor_20260512,3.18,4.14,2,0,30119.68,,,False,model_workspaces/qwen35_4b/outputs/validation/stage1_anchor_r32_lr2e4_epoch_2_record_messages/metrics.json,outputs/judge/stage1_val50_qwen35_anchor_20260512/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/qwen35_4b/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
qwen35_4b,3,stage1_anchor_r32_lr2e4,145,139,6,0.958621,137,139,139,73.040816,49,stage1_val50_qwen35_anchor_20260512,3.306122,4.204082,6,0,30119.68,,,False,model_workspaces/qwen35_4b/outputs/validation/stage1_anchor_r32_lr2e4_epoch_3_record_messages/metrics.json,outputs/judge/stage1_val50_qwen35_anchor_20260512/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/qwen35_4b/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
qwen35_4b,4,stage1_anchor_r32_lr2e4,145,140,5,0.965517,137,140,140,77.94,50,stage1_val50_qwen35_anchor_20260512,3.36,4.16,1,0,30119.68,,,False,model_workspaces/qwen35_4b/outputs/validation/stage1_anchor_r32_lr2e4_epoch_4_record_messages/metrics.json,outputs/judge/stage1_val50_qwen35_anchor_20260512/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/qwen35_4b/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
qwen35_4b,5,stage1_anchor_r32_lr2e4,145,140,5,0.965517,138,140,140,75.82,50,stage1_val50_qwen35_anchor_20260512,3.14,4.1,2,0,30119.68,,,False,model_workspaces/qwen35_4b/outputs/validation/stage1_anchor_r32_lr2e4_epoch_5_record_messages/metrics.json,outputs/judge/stage1_val50_qwen35_anchor_20260512/scoring/accessibility_first_v2/system_score_summary.json,model_workspaces/qwen35_4b/outputs/training/stage1_anchor_r32_lr2e4_training_result.json
